	HD1_eTconv_PBMCs	HD1_nTconv_PBMCs	HD1_effector_CD8posT_PBMCs	HD1_naive_CD8posT_PBMCs	HD1_nTreg_PBMCs	HD1_eTreg_PBMCs	HD2_eTconv_PBMCs	HD2_nTconv_PBMCs	HD2_effector_CD8posT_PBMCs	HD2_naive_CD8posT_PBMCs	HD2_nTreg_PBMCs	HD2_eTreg_PBMCs	HD3_eTconv_PBMCs	HD3_nTconv_PBMCs	HD3_effector_CD8posT_PBMCs	HD3_naive_CD8posT_PBMCs	HD3_nTreg_PBMCs	HD3_eTreg_PBMCs	NSCLC5_eTconv_TILs	NSCLC5_effector_CD8posT_TILs	NSCLC5_eTreg_TILs	NSCLC6_eTconv_TILs	NSCLC6_effector_CD8posT_TILs	NSCLC6_eTreg_TILs	NSCLC7_eTconv_TILs	NSCLC7_effector_CD8posT_TILs	NSCLC7_eTreg_TILs	NSCLC1_eTconv_PBMCs	NSCLC1_effector_CD8posT_PBMCs	NSCLC1_eTreg_PBMCs	NSCLC1_eTconv_TILs	NSCLC1_effector_CD8posT_TILs	NSCLC1_eTreg_TILs	NSCLC2_eTconv_PBMCs	NSCLC2_effector_CD8posT_PBMCs	NSCLC2_eTreg_PBMCs	NSCLC2_eTconv_TILs	NSCLC2_effector_CD8posT_TILs	NSCLC2_eTreg_TILs	NSCLC3_eTconv_PBMCs	NSCLC3_effector_CD8posT_PBMCs	NSCLC3_eTreg_PBMCs	NSCLC3_eTconv_TILs	NSCLC3_effector_CD8posT_TILs	NSCLC3_eTreg_TILs	NSCLC4_eTconv_PBMCs	NSCLC4_effector_CD8posT_PBMCs	NSCLC4_eTreg_PBMCs	NSCLC4_eTconv_TILs	NSCLC4_effector_CD8posT_TILs	NSCLC4_eTreg_TILs
Hepatocytes	111.699940967388	161.801023089358	64.4087736348598	193.202922383503	78.9840807124524	101.396792390323	74.4399480569121	94.7533790648679	160.016954244072	157.285552308821	98.2167177256912	97.7006770057144	132.340868961825	122.288562094079	52.814342753592	181.38610747391	211.581913926294	146.744811126348	364.021865333125	195.098420896522	477.909892176801	53.7277582571561	90.888785470022	263.390380065596	78.8778044546063	106.059375931502	457.218648102522	222.444100502263	109.87368215164	182.861073650814	301.498292106962	163.619621228688	439.424319889007	133.387417572899	39.3565208207157	268.478199185576	253.487548372832	96.6712101593854	501.59436889623	142.771047222402	110.21617426314	256.611298144707	96.7226108102995	137.299735301817	177.371096736509	202.955211540751	89.5560799266078	144.800529759073	230.973072630111	189.220975096982	451.307958782787
Keratinocytes	404.084555313917	529.063592672294	243.304827967685	442.315022275754	393.552838034704	316.410607402861	433.163555487537	321.235983324443	240.532111610103	415.740861730989	294.14279209821	180.320671100592	286.136156402179	547.780694323556	85.4051189612793	494.829876571456	553.088034302315	247.074718510353	1446.67996087348	589.567288452963	1334.90542376486	434.148728686141	392.111204207258	744.482991304828	317.049092472597	389.900872124311	828.284052736422	490.852586077809	191.943039196476	260.60430092872	2237.07243446031	2369.20091054071	2321.24209515897	317.907576809401	237.153514784275	83.2833355645729	394.619493250193	351.29923791527	413.710204728081	253.867714971109	292.581905022871	379.018563271665	380.806829829826	212.373678348803	490.556451350558	209.114003489696	192.998636313824	333.007643819399	332.505225386077	312.378033773597	678.310721791838
MEP	517.928732226024	826.346482144066	550.696169400918	781.893074444321	452.905627393006	933.374918428984	1011.8986813289	652.939052675713	798.006017507001	978.205867137952	920.668319946678	935.330025864355	1003.92711166362	1009.49503002813	613.543721401967	1026.16439388866	1094.76222136289	879.112455580882	668.040499874293	678.666588097448	1186.97351810158	617.288580356143	700.098235361159	954.664511075858	364.894122903862	555.232951207227	1157.30665913932	550.484379456616	537.139886652543	657.381369943318	1125.74902005729	318.171144717745	1114.55628113895	483.06837373389	452.670591454024	688.901009671627	96.9135902612576	381.417838158688	799.215336278742	630.866006345022	558.470015355956	427.917794073032	389.023879479906	248.267173550916	696.479752129877	530.646483398233	587.903980168533	628.057930918857	292.153210980682	294.401350830948	605.858232342105
MPP	735.54956984517	782.083251104795	817.905160683839	957.441433912881	603.520824112566	517.660937734958	890.032089283179	551.799554849937	698.352170651092	799.362254406915	699.378655633225	589.405647128454	786.358377761707	720.531824346007	559.617729623168	949.241533764079	871.335808560037	798.36205002506	666.499118932547	622.051911790611	509.601882518724	598.569505157171	632.237667970118	695.589260801625	629.829470961493	760.180871499687	637.953395840037	1003.21784915765	585.397639386955	795.703639134895	648.878230469941	340.592844171179	448.388545619713	570.665565107656	678.826091136148	852.375545847429	467.766211405123	765.794836951644	525.898712232811	706.191163060329	756.79464958324	621.632334481218	700.594835963013	698.102355532571	572.748276801016	447.246379073642	769.870657954272	698.542314429139	269.707753023919	612.960212407459	379.339785663872
MSC	623.977970586398	859.807069034455	265.41111252127	743.949077542026	368.556342818501	433.599654066043	732.253086515961	728.39075285767	488.803958055383	828.939966889905	558.688291127506	648.319717714525	775.50133484299	864.310291565513	494.190637556786	845.445563625766	882.113519591805	571.550336473526	445.387785226311	495.766344490348	368.333173928424	733.462538346983	578.163417721607	479.633445714945	406.285820169102	465.587913887958	473.227060619785	581.872212299713	463.391287835506	694.929862151751	510.055006990725	245.653029754984	503.20548735675	338.879938051108	406.809806149986	582.212960865404	346.931458461841	276.448924135938	511.141182565815	412.067841646478	491.263813166091	221.697883534114	581.89184528175	339.980121659193	522.410088800817	260.514439567661	286.009995238094	449.366784441423	130.429190798389	178.018674646858	201.941727823222
Macrophages	265.510856050339	211.769402043774	551.794414776341	298.4534551037	52.9479693907	546.536687023542	372.696889903769	379.618457930682	486.880320266472	369.785243769822	230.602025479506	581.623273679823	423.437011063534	477.992964168052	455.146322088965	421.813309248259	324.797058360591	587.086672056396	1298.29905522275	933.001020840647	1376.92404967283	631.93168231199	664.09400313524	854.329035042187	427.048543237429	806.440813799523	1614.75772804114	479.393055582737	410.825037984846	561.975536556947	986.020278104845	961.649759829799	1296.45896062115	360.105700453121	326.529491644487	579.872479035805	809.229213437602	731.950216040992	1232.29741317962	331.4971238439	433.193122840555	584.520573707921	373.296043076615	602.167093674831	763.690251067215	363.854138290914	488.276098110082	566.022923757413	909.033618611993	633.150148901397	1354.08428355361
Macrophages M1	268.899449858627	109.640716241026	443.043878557252	136.741332828722	46.6277893783558	411.652734189522	365.499967891467	178.059066394975	497.33788456321	226.653808875457	264.086883466494	529.096151745056	437.565654334536	335.346544831652	481.17873882889	416.684760341442	283.402919076515	483.375123562141	1420.85323298847	838.155150087509	1428.21669145807	659.778027283465	672.194364571953	1059.75729672865	515.459468558738	668.24755125475	1803.20885997554	513.36559205657	312.193174960641	383.150495335436	785.504239504297	1094.1144087008	1349.00593173343	281.069803897608	275.461628634293	365.699192946822	929.964949495257	707.651273955615	1472.87438186919	317.447719639898	446.855025799585	420.272006525535	258.372263144721	471.629930321018	960.417644347247	243.704604438845	382.489831209411	388.062746941843	922.982166585468	367.640559491729	1535.56000728145
Macrophages M2	357.432657412883	244.884551078956	614.671226503736	132.178881761602	281.935450731196	392.920615673453	414.380570930066	402.025501719619	506.406174637286	352.396046612037	221.165090483825	409.399343967328	416.026784777547	332.178676023585	457.902375847281	290.22216216389	312.611274576513	510.989646780776	1047.64961084312	647.534124560884	846.318168534349	389.752295214534	405.527403281314	494.622450070056	248.621630121148	702.774862098985	893.372909689712	499.27138129197	457.267789652131	536.72080423242	455.194042199014	595.263363100361	843.588604970524	258.481405151602	409.658648532895	530.583451036558	581.330619054212	518.588519305258	837.612734165376	314.827959876272	484.314097006787	482.777296864057	318.505888072764	400.413913755149	527.214006506637	336.746002402789	494.518613362503	483.50360671454	688.022231696158	397.616215072852	994.825504551438
Mast cells	263.847825268299	226.829445122753	291.598223639388	274.893526369597	300.36750581308	88.8681647151955	171.963451519008	159.299944046972	197.797182615108	104.792832960635	203.367112962356	154.041113843615	188.208753300659	143.540284981644	248.668898704728	193.025112069133	217.221349198328	227.104335716417	257.864813082171	245.473579012671	195.610005084208	136.68880864124	283.443654000748	159.236327076296	255.79121457946	203.561839637542	423.011403494779	278.318300279465	346.550087546536	321.868472543858	26.7817697485601	267.041106433099	7.09369743808687	331.20065107296	403.964141513463	286.905050324659	286.285953245368	273.177036097488	294.285517061074	403.031121925193	409.587027557736	288.445631515467	336.614180012493	345.811647952199	120.360372993493	330.010268802675	337.648740200909	217.414636900722	437.584106644146	399.752505991572	203.112147820117
Megakaryocytes	745.149845973741	673.164283137081	925.598794961328	650.681600632035	1169.0492101758	1369.01296037389	952.442410641323	859.501993222732	879.377644841078	798.685651765126	1441.80196999852	1536.03102429718	275.213644275579	860.663658287427	396.210302589993	1071.58127984683	1492.53883335638	902.495439312401	348.026966082605	254.356402151086	1384.0561007994	400.363186971401	453.118240680584	889.983747925177	695.977066706505	711.098113102079	1253.05440451869	932.414509734213	666.919298702169	1020.36395562639	726.136978933282	532.122522181509	1402.5967606903	635.89797268087	945.909840761815	1216.92409831682	362.938134418757	709.059795406714	836.415419325826	1168.38902568222	888.270484726135	1511.83898864588	1010.66275814199	739.753460138533	1593.07446551865	920.406321503783	683.900941920932	1391.27532379361	486.790691329286	481.016117838253	837.979420240937
