	HD1_eTconv_PBMCs	HD1_nTconv_PBMCs	HD1_effector_CD8posT_PBMCs	HD1_naive_CD8posT_PBMCs	HD1_nTreg_PBMCs	HD1_eTreg_PBMCs	HD2_eTconv_PBMCs	HD2_nTconv_PBMCs	HD2_effector_CD8posT_PBMCs	HD2_naive_CD8posT_PBMCs	HD2_nTreg_PBMCs	HD2_eTreg_PBMCs	HD3_eTconv_PBMCs	HD3_nTconv_PBMCs	HD3_effector_CD8posT_PBMCs	HD3_naive_CD8posT_PBMCs	HD3_nTreg_PBMCs	HD3_eTreg_PBMCs	NSCLC5_eTconv_TILs	NSCLC5_effector_CD8posT_TILs	NSCLC5_eTreg_TILs	NSCLC6_eTconv_TILs	NSCLC6_effector_CD8posT_TILs	NSCLC6_eTreg_TILs	NSCLC7_eTconv_TILs	NSCLC7_effector_CD8posT_TILs	NSCLC7_eTreg_TILs	NSCLC1_eTconv_PBMCs	NSCLC1_effector_CD8posT_PBMCs	NSCLC1_eTreg_PBMCs	NSCLC1_eTconv_TILs	NSCLC1_effector_CD8posT_TILs	NSCLC1_eTreg_TILs	NSCLC2_eTconv_PBMCs	NSCLC2_effector_CD8posT_PBMCs	NSCLC2_eTreg_PBMCs	NSCLC2_eTconv_TILs	NSCLC2_effector_CD8posT_TILs	NSCLC2_eTreg_TILs	NSCLC3_eTconv_PBMCs	NSCLC3_effector_CD8posT_PBMCs	NSCLC3_eTreg_PBMCs	NSCLC3_eTconv_TILs	NSCLC3_effector_CD8posT_TILs	NSCLC3_eTreg_TILs	NSCLC4_eTconv_PBMCs	NSCLC4_effector_CD8posT_PBMCs	NSCLC4_eTreg_PBMCs	NSCLC4_eTconv_TILs	NSCLC4_effector_CD8posT_TILs	NSCLC4_eTreg_TILs
CD8+ Tcm	0.0576	0	0.1209	0.1406	0	0	0.0142	0	0.1258	0.1712	0	0	0.0504	0	0.1429	0.1389	0	0	0	0.161	0	0.0099	0.1469	0	0.0014	0.147	0	0	0.1678	0	0.0718	0.1691	0	0	0.0752	0	0	0.1638	0	0.0202	0.1426	0	7e-04	0.1385	0	0.0634	0.1413	0	0.0577	0.1589	0
CD8+ Tem	0.2465	0	0.5257	0	0	0.0103	0.389	0	0.5452	0	0	0.0393	0.2436	0	0.5247	0	0	0.0189	0.4537	0.5041	0.1084	0.4063	0.4954	0.2005	0.4138	0.4626	0.078	0.4155	0.4642	0	0.2804	0.4686	0.0709	0.3199	0.4984	0	0.3721	0.4584	0.0947	0.2241	0.493	0.0101	0.3357	0.516	0.1537	0.1646	0.4874	0	0.3017	0.4972	0.0707
CD8+ naive T-cells	0.0551	0.1636	0.0181	0.2613	0.0489	0.0848	0	0.0866	0.0474	0.2232	0.0901	0.0871	0.0412	0.0857	0.037	0.2257	0.1224	0.0977	0	0.1031	0.0996	0.0087	0.0841	0.0614	0.0817	0.2119	0.0844	0	0.0726	0.093	0.062	0.0077	0.0887	0	0.0513	0.0374	0	0.1028	0.0207	0.0383	0.036	0.0672	0	0	0.0375	0	0.0441	0.0662	0	0.009	0
CLP	0.1024	0.2026	0.0642	0.1383	0.0325	0.0933	0.0949	0.0792	0.1108	0.128	0.0896	0.1084	0.124	0.1469	0.0772	0.1506	0.1419	0.0882	0.0851	0.1098	0.1379	0.1037	0.116	0.1358	0.1006	0.1498	0.1179	0.0812	0.0907	0.0826	0.1391	0.0488	0.135	0.0703	0.0611	0.0302	0.0377	0.1078	0.1067	0.0694	0.023	0.0335	0.0487	0.0432	0.0695	0.0578	0.0666	0.0908	0	0.0405	0.0489
CMP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0247	0	0	0	0	0	0	0	0	0	0	0	0.0192	0	0	0	0	0.0023	0	0	0.0094	0	0	0	0	0.0158	0.0234	0	0	0.0032	0	0.0076	0.0505	0
Chondrocytes	0.0093	0	0.0247	0	0.0083	0.0183	0	0.0099	0.0234	0	0.0218	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0.0176	0.0081	0	0.0384	0.0807	0	0.0435	0.0113	0	0.0111	0.0485	0	0.0066	0.031	0	0.0214	0.0985	0.0114	0.0021	0.1174	0	0.0478	0.0502	0.0708	0	0.0716	3e-04
Class-switched memory B-cells	0.2043	0	0.2337	0.0944	0.213	0.2665	0.2156	0.0121	0.1837	0.1281	0.1536	0.2671	0.1955	0	0.2544	0.0744	0.1119	0.2281	0.1618	0.1195	0.275	0.1988	0.2409	0.304	0.2715	0.2859	0.3407	0.054	0.2202	0.2065	0.0853	0.1855	0.2186	0.2147	0.1558	0.2483	0.2119	0.2099	0.353	0.1711	0.1717	0.1955	0.2277	0.1503	0.2994	0.2118	0.1625	0.1474	0.2747	0.1782	0.3599
DC	0.0178	0.0372	0	0	0	0	0.0046	0.0241	0	0.0286	0.0127	0.0135	0.0347	0.0177	0.0057	0.0277	0.0088	0.0054	0.1272	0.0743	0.1164	0.0419	0.0389	0.0992	0.0333	0.0379	0.1209	0.0079	0	0	0.1614	0.1076	0.1634	0	0.003	0	0.0886	0.0488	0.1426	0.001	0	0	0	0.0019	0.0922	0	0	0.0033	0.1031	0.0089	0.138
Endothelial cells	0.001	0.0224	0.0075	0.0287	0.0276	0.0615	0.0038	0.0091	0.067	0.0434	0.0482	0.0537	0.0198	0	0.0524	0.0054	0	0.0658	9e-04	0.0324	0.0494	0.0574	0.0301	0.0391	0.0512	0.0352	0.0377	0	0.0844	0.0125	0.0719	0.0675	0.0474	0.0514	0.0158	0.0268	0.0291	0	0.0611	0.0305	0.039	0.0594	0.054	0.0176	0.0425	0.0578	0.0612	0.0528	0.0305	0.0276	0.0637
Eosinophils	0.0846	0	0.0711	0	0	0.1781	0.0698	0	0	0	0	0.187	0.1262	0	0.0139	0	0	0.2059	0	0	0	0	0	0.0281	0.0423	8e-04	0.0368	0	0.0853	0.1371	0	0.0258	0.103	0	0.0354	0.2012	0	0.0217	0.026	0.1182	0.2017	0.2255	0.0644	0.001	0.1258	0.0322	0.1354	0.1649	0	0.0147	0.1158
Epithelial cells	0.0339	0.0384	0.0181	0.0275	0.0267	0.0686	0.0568	0.0469	0.0448	0.0605	0.0466	0.0289	0.048	0.0641	0.0334	0.0494	0.0677	0.0388	0.2333	0.0952	0.2102	0.024	0.0244	0.047	0.0271	0.0502	0.0655	0.0661	0.0178	0.0317	0.3303	0.3882	0.3178	0.0397	0	0.0174	0.0303	0.0243	0	0.0497	0.046	0.0421	0.0707	0	0.0419	0.0511	0.0236	0.0691	0.1048	0.0523	0.1929
Erythrocytes	0	0.0035	0	0	0	0	0	0.0019	0	0	0	0.0234	0	0	0.0369	0.0061	0	0.0215	0	0	0	0.049	0.015	0.0354	0.0455	0.0273	0	0	0.0053	2e-04	0	0.0481	0.0323	0	0	0.0083	0	0	0.0116	0	0	0	0	0	0.0045	0.0368	0.0493	0.0315	0.023	0.017	0.02
