,HD1_eTconv_PBMCs,HD1_nTconv_PBMCs,HD1_effector_CD8posT_PBMCs,HD1_naive_CD8posT_PBMCs,HD1_nTreg_PBMCs,HD1_eTreg_PBMCs,HD2_eTconv_PBMCs,HD2_nTconv_PBMCs,HD2_effector_CD8posT_PBMCs,HD2_naive_CD8posT_PBMCs,HD2_nTreg_PBMCs,HD2_eTreg_PBMCs,HD3_eTconv_PBMCs,HD3_nTconv_PBMCs,HD3_effector_CD8posT_PBMCs,HD3_naive_CD8posT_PBMCs,HD3_nTreg_PBMCs,HD3_eTreg_PBMCs,NSCLC5_eTconv_TILs,NSCLC5_effector_CD8posT_TILs,NSCLC5_eTreg_TILs,NSCLC6_eTconv_TILs,NSCLC6_effector_CD8posT_TILs,NSCLC6_eTreg_TILs,NSCLC7_eTconv_TILs,NSCLC7_effector_CD8posT_TILs,NSCLC7_eTreg_TILs,NSCLC1_eTconv_PBMCs,NSCLC1_effector_CD8posT_PBMCs,NSCLC1_eTreg_PBMCs,NSCLC1_eTconv_TILs,NSCLC1_effector_CD8posT_TILs,NSCLC1_eTreg_TILs,NSCLC2_eTconv_PBMCs,NSCLC2_effector_CD8posT_PBMCs,NSCLC2_eTreg_PBMCs,NSCLC2_eTconv_TILs,NSCLC2_effector_CD8posT_TILs,NSCLC2_eTreg_TILs,NSCLC3_eTconv_PBMCs,NSCLC3_effector_CD8posT_PBMCs,NSCLC3_eTreg_PBMCs,NSCLC3_eTconv_TILs,NSCLC3_effector_CD8posT_TILs,NSCLC3_eTreg_TILs,NSCLC4_eTconv_PBMCs,NSCLC4_effector_CD8posT_PBMCs,NSCLC4_eTreg_PBMCs,NSCLC4_eTconv_TILs,NSCLC4_effector_CD8posT_TILs,NSCLC4_eTreg_TILs
Skeletal muscle,0.245866667,0,9.67E-05,0.018973333,0.00552,0,0.080936667,0.020953333,0,0.029206667,0,0,1,0.371763333,0,1,0.973576667,0,1,0.588256667,0.138296667,0,0,0,0,0,0.00141,0,0,0.008376667,0.00038,0.996143333,0,0,0,0,0.03921,5.33E-05,0.03921,0,0.01192,0.01422,0.034753333,0,0,0.138296667,0.00552,0,1,0.00338,1
Smooth muscle,1,1,0.225376667,1,1,0.298763333,1,1,0.406726667,1,0.42687,0.55063,1,1,0.383153333,1,1,0.26375,1,0.26785,1,0.508583333,0.170763333,0.176226667,0.079043333,0.235603333,0.20989,1,0.202036667,1,1,0.386673333,0.14725,1,0.282193333,1,0.329146667,0.21657,0.339663333,1,1,0.296203333,1,1,1,0.340336667,0.319906667,0.314226667,0.54834,0.455633333,0.24498
Tgd cells,0.335616667,1,0.144116667,1,1,0.31686,0.007826667,1,0.07757,1,1,0.009806667,0.101613333,1,0.05332,1,1,0.035093333,0.320123333,0.04873,0.559843333,0.014946667,0.001436667,0.137543333,0.037093333,0,0.528966667,0.05189,0.047596667,0.36038,0.179403333,0.007756667,0.105066667,0.078923333,0.07081,0.167616667,0.0678,6.33E-05,0.35286,0.075776667,0.01463,0.26583,0.07501,0.004873333,0.183003333,0.167616667,0.019903333,0.247593333,0.167616667,0.014946667,0.299646667
Th1 cells,0.3814,0.784113333,0.30142,1,1,0.15232,0.134843333,0.78236,0.033306667,0.578213333,0.588853333,0.00437,0.05573,0.36442,0.019123333,0.614763333,0.315136667,0.15232,0.062123333,0,0,0,0,0,0,0,0,0.42693,0.14063,0.09093,0.061903333,0,0,0.113736667,0.007213333,0.201316667,0.02709,0,0.000103333,0.3182,0.091133333,0.63599,0.422693333,0.000183333,0.000486667,0.387616667,0.14103,0.412343333,0.382043333,0,0.029806667
Th2 cells,0,1,0.0156,1,1,0,0.005236667,0.625806667,0.003986667,1,0.580613333,0,0.03663,1,0,1,1,0,0.0048,0.03663,0.007593333,0.00041,0,0.00374,0,0,0,0.237686667,0,0.111816667,0,0,0,0.211316667,0.009186667,0.037416667,0,0.002976667,0.000743333,0.032636667,0,0.00486,0,0.00027,0.15482,0.010583333,0.000296667,0.003026667,3.00E-05,0.007383333,0.00052
Tregs,0,0.253443333,1,1,0,0,0.22312,0.806426667,1,1,0,0,0.004896667,1,1,1,0,0,0.030406667,0,0,0.04884,0.1383,0,0.0004,0.67277,0,0.201416667,0.53909,0,0,0,0,0.014626667,1,0,0,0.00251,0,0,0.87903,0,0,0.084003333,0,0.000643333,0.76261,0,0,0,0
aDC,0.799273333,1,1,1,1,0.48055,0.75708,1,0.951983333,1,1,0.0141,0.963346667,1,0.31896,1,1,0.007036667,0,0,0,0.000323333,0.000133333,0,0.05146,0.013923333,0,0.888593333,1,0.03288,0,0,0,0.277363333,0.32466,0.00348,0,0,0,0.079376667,0.247873333,0.003583333,0.043493333,0.106286667,0,0.291343333,1,0.029423333,0,0.13122,0
cDC,0.00297,0,0.107146667,0.554156667,1,0.006753333,0.497046667,0.001703333,1,7.33E-05,0.107146667,0.000566667,0.013056667,0.013056667,0.08869,5.00E-05,0.318213333,0.000283333,0.172926667,0.20419,0.010863333,0.04874,0.018403333,0.00254,0,0.418716667,0,1,1,0.28882,0.00348,1,0.01993,1,0.163483333,1,1,0.248283333,1,0.09212,1,1,1,0.26478,0,0.248283333,1,0,1,1,0.374946667
iDC,0.050713333,0,1,0.008396667,0.0577,0.020536667,0.614036667,0,0.447036667,0,0,0.117523333,0.000426667,0.118803333,1,0.056866667,0.05239,1,0,0,0,0.345536667,0.20877,0.79759,0,0.014863333,0,1,0.02136,1,0,0,0,0.32431,0.311446667,0.596916667,0,0.106696667,0,1,1,1,1,0.540083333,0.20877,1,0.849126667,0.79759,0,0.23592,0
ly Endothelial cells,0,0,0,0,0,0.38384,0.00192,0,0,0,0,0.23808,0,0.0022,0,0,0,0.102866667,0.768246667,0.273306667,0.020813333,0,0.07728,0,0.022036667,0,0.00062,0,0,0.083166667,0,1,0.122513333,0,0,0.000176667,0.10675,1,0,0.083166667,0,0.09878,0.11184,0,0,0.145123333,0,0.011416667,1,0.757536667,0.653906667
mv Endothelial cells,1,1,0.37085,0.09245,0.86012,0.00054,0,0.050356667,0,0,0.32282,0,0,0.118536667,0.00051,0,0.007093333,0,0.09908,0.152876667,0.028413333,0,5.33E-05,0,0,0.715976667,0,0.615446667,0.062493333,0,1,1,1,0,0.249116667,0,0.02897,1,0,0,0.001056667,0,0,0.177083333,0.001393333,0.00902,0.11731,0,1,0.348493333,0.19653
naive B-cells,0.063696667,0.029536667,1,1,0,1,1,0.036936667,1,1,1.67E-05,1,0.2173,1,0.03732,1,0.036546667,1,0.137863333,1,1,1,1,1,0.072156667,1,1,1,0.180543333,1,1,1,1,1,1,1,1,1,1,1,1,1,0.074186667,1,1,1,1,1,0.000596667,1,1
pDC,0.08034,1,0,0.186826667,1,0.070486667,0,1,0,1,0.194033333,0.21792,0.067456667,1,0,0.119226667,0.364686667,0.29836,0,0,0,0,0,0,0,0,0.019996667,0,0,0.40056,0,0,0,0,0,0.357516667,0,0,0,0.05501,0,1,0,0,0,0.35011,0,0.227343333,0,0,0.413963333
pro B-cells,0.357533333,0.646836667,0.24205,1,0.696153333,0.17723,0.262913333,1,0.20342,0.579016667,0.730893333,0.131053333,0.174916667,0.388383333,0.401016667,0.641143333,0.287546667,0.1293,1,0.530016667,0.237813333,1,0.35575,0.193253333,0.331113333,0.256346667,0.25369,1,1,0.386403333,0.474393333,1,0,0.530016667,0.81727,0.266066667,1,1,0.298663333,1,1,1,0.74841,1,0.298663333,1,1,0.444506667,1,1,1
